feature,coef,abs
tenure,-1.4505976003544847,1.4505976003544847
Contract_Two year,-0.7407018539952818,0.7407018539952818
TotalCharges,0.7376065800496262,0.7376065800496262
InternetService_DSL,-0.5724348958643345,0.5724348958643345
Contract_Month-to-month,0.5624768932702626,0.5624768932702626
InternetService_Fiber optic,0.5397258589138625,0.5397258589138625
MonthlyCharges,-0.4661938737400128,0.4661938737400128
PaperlessBilling_No,-0.31594172550067906,0.31594172550067906
MultipleLines_No,-0.3023560587682325,0.3023560587682325
Dependents_Yes,-0.2873725465865443,0.2873725465865443
InternetService_No,-0.272995980133064,0.272995980133064
DeviceProtection_No internet service,-0.272995980133064,0.272995980133064
OnlineSecurity_No internet service,-0.272995980133064,0.272995980133064
StreamingTV_No internet service,-0.272995980133064,0.272995980133064
TechSupport_No internet service,-0.272995980133064,0.272995980133064
OnlineBackup_No internet service,-0.272995980133064,0.272995980133064
StreamingMovies_No internet service,-0.272995980133064,0.272995980133064
OnlineSecurity_Yes,-0.20764833457472537,0.20764833457472537
PhoneService_Yes,-0.2063975660710108,0.2063975660710108
TechSupport_Yes,-0.20611269087360842,0.20611269087360842
